2021/6/1	28	17	42
2021/6/2	29	14	49
2021/6/3	28	17	28
2021/6/4	30	16	35
2021/6/5	34	18	32
2021/6/6	33	20	50
2021/6/7	27	19	53
2021/6/8	29	21	69
2021/6/9	25	19	56
2021/6/10	32	18	31
2021/6/11	36	20	54
2021/6/12	36	24	88
2021/6/13	34	23	82
2021/6/14	25	23	31
2021/6/15	30	21	58
2021/6/16	22	20	37
2021/6/17	32	19	29
2021/6/18	34	19	26
2021/6/19	37	20	30
2021/6/20	36	21	34
2021/6/21	35	21	71
2021/6/22	32	21	48
2021/6/23	25	22	38
2021/6/24	27	20	44
2021/6/25	28	22	58
2021/6/26	28	23	43
2021/6/27	33	23	71
2021/6/28	30	22	71
2021/6/29	27	22	44
2021/6/30	30	23	41
2021/7/1	30	22	37
2021/7/2	30	19	37
2021/7/3	28	21	41
2021/7/4	33	21	33
2021/7/5	32	21	41
2021/7/6	30	22	40
2021/7/7	32	23	61
2021/7/8	33	22	45
2021/7/9	32	23	58
2021/7/10	31	23	65
2021/7/11	30	23	52
2021/7/12	25	21	16
2021/7/13	31	24	25
2021/7/14	32	24	62
2021/7/15	32	24	46
2021/7/16	30	24	37
2021/7/17	29	23	28
2021/7/18	27	23	29
2021/7/19	30	23	29
2021/7/20	31	23	38
2021/7/21	28	23	37
2021/7/22	28	23	31
2021/7/23	31	23	31
2021/7/24	32	24	51
2021/7/25	33	25	56
2021/7/26	32	25	61
2021/7/27	27	24	27
2021/7/28	28	24	24
2021/7/29	26	22	21
2021/7/30	30	22	20
2021/7/31	34	23	53
2021/8/1	32	23	25
2021/8/2	33	23	27
2021/8/3	31	24	44
2021/8/4	31	23	48
2021/8/5	32	23	54
2021/8/6	33	22	44
2021/8/7	33	23	74
2021/8/8	31	23	72
2021/8/9	30	22	45
2021/8/10	33	23	40
2021/8/11	30	23	37
2021/8/12	29	22	39
2021/8/13	29	22	36
2021/8/14	28	22	37
2021/8/15	28	22	37
2021/8/16	28	22	38
2021/8/17	30	21	32
2021/8/18	28	23	36
2021/8/19	24	20	31
2021/8/20	28	21	32
2021/8/21	31	22	36
2021/8/22	30	23	64
2021/8/23	30	20	54
2021/8/24	27	19	25
2021/8/25	28	19	23
2021/8/26	30	19	24
2021/8/27	30	18	28
2021/8/28	28	18	33
2021/8/29	28	20	43
2021/8/30	28	20	54
2021/8/31	27	17	46
2021/9/1	29	18	41
2021/9/2	29	20	53
2021/9/3	30	22	61
2021/9/4	24	19	40
2021/9/5	24	22	30
2021/9/6	23	14	19
2021/9/7	27	17	32
2021/9/8	28	19	44
2021/9/9	27	18	49
2021/9/10	29	19	63
2021/9/11	31	21	76
2021/9/12	23	20	51
2021/9/13	29	20	39
2021/9/14	25	17	42
2021/9/15	25	19	46
2021/9/16	24	17	36
2021/9/17	27	17	31
2021/9/18	24	19	47
2021/9/19	18	16	36
2021/9/20	21	15	21
2021/9/21	27	14	23
2021/9/22	29	17	32
2021/9/23	27	17	52
2021/9/24	19	18	30
2021/9/25	24	18	33
2021/9/26	20	18	26
2021/9/27	28	17	34
2021/9/28	24	17	49
2021/9/29	28	17	46
2021/9/30	22	16	59
2021/10/1	23	16	32
2021/10/2	21	17	60
2021/10/3	21	15	52
2021/10/4	18	12	19
2021/10/5	15	12	17
2021/10/6	12	6	13
2021/10/7	19	7	18
2021/10/8	20	11	35
2021/10/9	14	12	39
2021/10/10	18	6	27
2021/10/11	19	5	35
2021/10/12	20	9	38
2021/10/13	20	11	66
2021/10/14	19	11	47
2021/10/15	20	5	32
2021/10/16	12	1	24
2021/10/17	15	2	38
2021/10/18	17	4	71
2021/10/19	14	1	22
2021/10/20	14	3	49
2021/10/21	19	5	40
2021/10/22	18	2	32
2021/10/23	18	3	55
2021/10/24	17	4	109
2021/10/25	18	7	175
2021/10/26	22	5	102
2021/10/27	21	6	29
2021/10/28	19	7	49
2021/10/29	19	6	105
2021/10/30	20	8	145
2021/10/31	18	5	57
2021/11/1	13	6	86
2021/11/2	12	4	89
2021/11/3	12	5	121
2021/11/4	14	7	164
2021/11/5	12	10	180
2021/11/6	12	-1	119
2021/11/7	1	-4	14
2021/11/8	7	-2	21
2021/11/9	11	1	20
2021/11/10	14	2	19
2021/11/11	13	0	20
2021/11/12	15	0	38
2021/11/13	18	1	59
2021/11/14	16	2	58
2021/11/15	11	0	77
2021/11/16	11	2	78
2021/11/17	13	1	115
2021/11/18	9	2	157
2021/11/19	10	3	34
2021/11/20	8	0	55
2021/11/21	7	-1	124
2021/11/22	4	-5	37
2021/11/23	8	-4	45
2021/11/24	12	-2	64
2021/11/25	13	-2	66
2021/11/26	13	-3	47
2021/11/27	10	0	92
2021/11/28	9	2	141
2021/11/29	7	-1	89
2021/11/30	5	-5	22
2021/12/1	9	-5	26
2021/12/2	13	0	39
2021/12/3	13	-1	43
2021/12/4	13	-3	50
2021/12/5	11	0	95
2021/12/6	12	-3	52
2021/12/7	10	-3	31
2021/12/8	7	1	62
2021/12/9	4	-1	127
2021/12/10	9	-1	96
2021/12/11	11	-3	51
2021/12/12	3	-6	20
2021/12/13	4	-6	49
2021/12/14	6	-5	74
2021/12/15	3	-4	100
2021/12/16	4	-7	54
2021/12/17	0	-7	23
2021/12/18	5	-7	45
2021/12/19	9	-5	70
2021/12/20	13	-3	79
2021/12/21	8	-2	58
2021/12/22	5	-2	49
2021/12/23	-1	-5	69
2021/12/24	-4	-10	27
2021/12/25	-4	-11	17
2021/12/26	-1	-8	28
2021/12/27	6	-8	56
2021/12/28	6	-5	64
2021/12/29	5	-5	43
2021/12/30	6	-7	38
2021/12/31	5	-7	44
